Date,Site,Parameter,Concentration,Detection,Group,,,,,,,,,
10/6/2019,1,HF183,6.63,1,Bacteria,,,,,,,,,
10/6/2019,2,HF183,5.61,1,Bacteria,,,,,,,,,
10/6/2019,3,HF183,3.9,1,Bacteria,,,,,,,,,
10/7/2019,1,HF183,6.75,1,Bacteria,,,,,,,,,
10/7/2019,2,HF183,4.26,1,Bacteria,,,,,,,,,
10/7/2019,3,HF183,2,0,Bacteria,,,,,,,,,
10/8/2019,1,HF183,6.24,1,Bacteria,,,,,,,,,
10/8/2019,2,HF183,2.92,1,Bacteria,,,,,,,,,
10/8/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
10/9/2019,1,HF183,4.99,1,Bacteria,,,,,,,,,
10/9/2019,2,HF183,3.86,1,Bacteria,,,,,,,,,
10/9/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
10/10/2019,1,HF183,4.66,1,Bacteria,,,,,,,,,
10/10/2019,2,HF183,2.62,1,Bacteria,,,,,,,,,
10/10/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
10/11/2019,1,HF183,4.46,1,Bacteria,,,,,,,,,
10/11/2019,2,HF183,2.45,1,Bacteria,,,,,,,,,
10/11/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
10/12/2019,1,HF183,4.49,1,Bacteria,,,,,,,,,
10/12/2019,2,HF183,1.82,0,Bacteria,,,,,,,,,
10/12/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
10/13/2019,1,HF183,4.55,1,Bacteria,,,,,,,,,
10/13/2019,2,HF183,1.74,0,Bacteria,,,,,,,,,
10/13/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
10/15/2019,1,HF183,4.18,1,Bacteria,,,,,,,,,
10/15/2019,2,HF183,1.74,0,Bacteria,,,,,,,,,
10/15/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
10/17/2019,1,HF183,3.24,1,Bacteria,,,,,,,,,
10/17/2019,2,HF183,1.7,0,Bacteria,,,,,,,,,
10/17/2019,3,HF183,1.7,0,Bacteria,,,,,,,,,
10/18/2019,1,HF183,2.52,1,Bacteria,,,,,,,,,
10/18/2019,2,HF183,2.34,1,Bacteria,,,,,,,,,
10/18/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
10/21/2019,1,HF183,1.74,0,Bacteria,,,,,,,,,
10/21/2019,2,HF183,2.87,1,Bacteria,,,,,,,,,
10/21/2019,3,HF183,1.7,0,Bacteria,,,,,,,,,
10/28/2019,1,HF183,1.74,0,Bacteria,,,,,,,,,
10/28/2019,2,HF183,1.74,0,Bacteria,,,,,,,,,
10/28/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
11/8/2019,1,HF183,1.74,0,Bacteria,,,,,,,,,
11/8/2019,2,HF183,1.74,0,Bacteria,,,,,,,,,
11/8/2019,3,HF183,1.74,0,Bacteria,,,,,,,,,
11/13/2019,1,HF183,1.74,0,Bacteria,,,,,,,,,
11/13/2019,2,HF183,2.95,1,Bacteria,,,,,,,,,
11/13/2019,3,HF183,1.7,0,Bacteria,,,,,,,,,
10/6/2019,1,P. aeruginosa,4.15,1,Bacteria,,,,,,,,,
10/6/2019,2,P. aeruginosa,3.68,1,Bacteria,,,,,,,,,
10/6/2019,3,P. aeruginosa,2.18,1,Bacteria,,,,,,,,,
10/7/2019,1,P. aeruginosa,3.83,1,Bacteria,,,,,,,,,
10/7/2019,2,P. aeruginosa,1.7,0,Bacteria,,,,,,,,,
10/7/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/8/2019,1,P. aeruginosa,2.6,0,Bacteria,,,,,,,,,
10/8/2019,2,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/8/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/9/2019,1,P. aeruginosa,3.04,1,Bacteria,,,,,,,,,
10/9/2019,2,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/9/2019,3,P. aeruginosa,3.46,1,Bacteria,,,,,,,,,
10/10/2019,1,P. aeruginosa,3.17,1,Bacteria,,,,,,,,,
10/10/2019,2,P. aeruginosa,1.7,0,Bacteria,,,,,,,,,
10/10/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/11/2019,1,P. aeruginosa,2.6,0,Bacteria,,,,,,,,,
10/11/2019,2,P. aeruginosa,2,0,Bacteria,,,,,,,,,
10/11/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/12/2019,1,P. aeruginosa,2.6,0,Bacteria,,,,,,,,,
10/12/2019,2,P. aeruginosa,2.18,1,Bacteria,,,,,,,,,
10/12/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/13/2019,1,P. aeruginosa,2.3,0,Bacteria,,,,,,,,,
10/13/2019,2,P. aeruginosa,2.4,1,Bacteria,,,,,,,,,
10/13/2019,3,P. aeruginosa,1.7,0,Bacteria,,,,,,,,,
10/15/2019,1,P. aeruginosa,2.3,0,Bacteria,,,,,,,,,
10/15/2019,2,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/15/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/17/2019,1,P. aeruginosa,2.3,0,Bacteria,,,,,,,,,
10/17/2019,2,P. aeruginosa,2,0,Bacteria,,,,,,,,,
10/17/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/18/2019,1,P. aeruginosa,2.34,1,Bacteria,,,,,,,,,
10/18/2019,2,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/18/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/21/2019,1,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/21/2019,2,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/21/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/28/2019,1,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/28/2019,2,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
10/28/2019,3,P. aeruginosa,1.7,0,Bacteria,,,,,,,,,
11/8/2019,1,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
11/8/2019,2,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
11/8/2019,3,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
11/13/2019,1,P. aeruginosa,2.35,0,Bacteria,,,,,,,,,
11/13/2019,2,P. aeruginosa,1.7,0,Bacteria,,,,,,,,,
11/13/2019,3,P. aeruginosa,1.7,0,Bacteria,,,,,,,,,
